大清三藏圣教,雍正皇帝等制
佛说大乘四法经,唐中天竺沙门地婆诃罗
佛说菩萨修行四法经,唐中天竺沙门地婆诃罗
佛说希有校量功德经,隋天竺三藏阇那崛多
佛说最无比经,唐三藏法师玄奘
佛说前世三转经,西晋沙门释法炬
佛说银色女经,元魏天竺三藏佛陀扇多
佛说阿阇世王受决经,西晋沙门释法炬
采华连王上佛受决经,北凉天竺三藏昙无谶
佛说正恭敬经,元魏天竺三藏佛陀扇多
佛说善恭敬经,隋天竺三藏阇那崛多
称赞大乘功德经,唐三藏法师玄奘
妙法决定业障经,唐沙门智严
佛说贝多树下思惟十二因缘经,吴月支优婆塞支谦
佛说缘起圣道经,唐三藏法师玄奘
佛说稻秆经,失译人名今附东晋录
佛说了本生死经,吴月支优婆塞支谦
佛说自誓三昧经,后汉安息三藏安世高
佛说独证自誓三昧经,西晋三藏法师竺法护
佛说转有经,元魏天竺三藏佛陀扇多
大方等修多罗王经,元魏天竺三藏菩提留支
佛说文殊师利巡行经,元魏天竺三藏菩提留支
佛说文殊尸利行经,隋天竺三藏阇那崛多
大乘造像功德经,唐三藏法师提昙般若等
佛说作佛形象经,失译人名今附后汉录
佛说造立形象福报经,失译人名今附东晋录
佛说灌佛经,西晋沙门释法炬
佛说灌洗佛经,姚秦三藏法师释圣坚
佛说浴像功德经,唐天竺三藏法师宝思惟
浴像功德经,唐三藏法师义净
佛说校量数珠功德经,唐天竺三藏法师宝思惟
曼殊室利咒藏中校量数珠功德经,唐三藏法师义净
佛说龙施女经,吴月支优婆塞支谦
佛说龙施菩萨本起经,西晋三藏法师竺法护
佛说八吉祥神咒经,吴月支优婆塞支谦
佛说八阳神咒经,西晋三藏法师竺法护
佛说八吉祥经,梁扶南三藏僧伽婆罗
佛说八佛名号经,隋天竺三藏阇那崛多
佛说盂兰盆经,西晋三藏法师竺法护
佛说报恩奉盆经,失译人名今附东晋录
佛说观药王药上二菩萨经,刘宋西域三藏畺良耶舍
佛说大孔雀咒王经,唐三藏法师义净
佛母大孔雀明王经,唐三藏法师不空
佛说孔雀王咒经,梁扶南三藏僧伽婆罗
佛说大孔雀王神咒经,东晋西域三藏帛尸梨蜜多罗
佛说大孔雀杂神咒经,东晋西域三藏帛尸梨蜜多罗
大金色孔雀王咒经,姚秦三藏法师鸠摩罗什
佛说不空罥索咒经,隋天竺三藏阇那崛多
不空罥索心咒王经,唐天竺三藏法师宝思惟
不空罥索陀罗尼经,唐北天竺婆罗门李无谄
不空罥索咒心经,唐南天竺三藏菩提流志
不空罥索神咒心经,唐三藏法师玄奘
不空罥索神变真言经,唐南天竺三藏菩提流志
千眼千臂观世音菩萨陀罗尼神咒经,唐三藏沙门智通
千手千眼观世音菩萨姥陀罗尼身经,唐南天竺三藏菩提流志
千手千眼观世音菩萨广大圆满无碍大悲心陀罗尼经附大悲神咒,唐西天竺沙门伽梵达摩
观世音菩萨秘密藏神咒经,唐于阗国三藏实叉难陀
观世音菩萨如意摩尼陀罗尼经,唐天竺三藏法师宝思惟
观自在菩萨如意心陀罗尼经,唐三藏法师义净
如意轮陀罗尼经,唐南天竺三藏菩提流志
观自在菩萨怛嚩多唎随心陀罗尼经,唐三藏沙门智通
请观世音菩萨消伏毒害陀罗尼咒经,东晋天竺居士竺难提
佛说十一面观世音神咒经,宇文周三藏耶舍崛多
十一面神咒心经,唐三藏法师玄奘
千转陀罗尼观世音菩萨咒经,唐三藏沙门智通
咒五首经,唐三藏法师玄奘
六字神咒经,唐南天竺三藏菩提流志
咒三首经,唐中天竺沙门地婆诃罗
大方广菩萨藏经中文殊师利根本一字陀罗尼法,唐天竺三藏法师宝思惟
曼殊室利菩萨咒藏中一字咒王经,唐三藏法师义净
十二佛名神咒较量功德除障灭罪经,隋天竺三藏阇那崛多
佛说称赞如来功德神咒经,唐三藏法师义净
华积陀罗尼神咒经,吴月支优婆塞支谦
师子奋迅菩萨所问经,失译人名今附东晋录
佛说华聚陀罗尼咒经,失译人名今附东晋录
六字咒王经,失译人名今附东晋录
六字神咒王经,失译人名今附梁录
梵女首意经,西晋三藏法师竺法护
有德女所问大乘经,唐南天竺三藏菩提流志
佛说七俱胝佛母心大准提陀罗尼经,唐武周天竺沙门地婆诃罗
佛说七俱胝佛母准提大明陀罗尼经,唐天竺沙门金刚智
七俱胝佛母所说准提陀罗尼经,唐三藏法师不空
种种杂咒经,宇文周比天竺三藏阇那崛多
佛顶尊胜陀罗尼经,唐朝散郎杜行顗
佛顶尊胜陀罗尼经,唐周罽宾沙门佛陀波利
佛说佛顶尊胜陀罗尼经,唐三藏法师义净
最胜佛顶陀罗尼净除业障经,唐中天竺沙门地婆诃罗
佛顶最胜陀罗尼经,唐中天竺沙门地婆诃罗
舍利弗陀罗尼经,梁三藏法师僧伽娑罗
佛说无量门破魔陀罗尼经,刘宋天竺三藏功德直共音阳
佛说无量门微密持经,吴月支优婆塞支谦
佛说出生无量门持经,东晋天竺三藏佛陀跋陀罗
阿难陀目佉尼诃离陀邻尼经,元魏天竺三藏佛陀扇多
阿难陀目佉尼诃离陀经,刘宋天竺三藏求那跋陀罗
佛说一向出生菩萨经,隋天竺三藏阇那崛多
出生无边门陀罗尼经,唐沙门智严
胜幢臂印陀罗尼经,唐三藏法师玄奘
妙臂印幢陀罗尼经,唐三藏沙门实叉难陀
佛说陀罗尼集经,唐中天竺沙门阿地瞿多
佛说持句神咒经,吴月支优婆塞支谦
佛说陀邻尼钵经,东晋西域沙门竺昙无兰
东方最胜灯王如来助护持世间神咒经,隋天竺三藏阇那崛多
如来方便善巧咒经,隋天竺三藏阇那崛多
虚空藏菩萨问七佛陀罗尼咒经,失译人名今附梁录
善法方便陀罗尼咒经,失译人名今附东晋录
金刚秘密善门陀罗尼经,失译人名今附东晋录
护命法门神咒经,唐南天竺三藏菩提流志
金刚场陀罗尼经,隋天竺三藏阇那崛多
金刚上昧陀罗尼经,元魏天竺三藏佛陀扇多
佛说无崖际总持法门经,姚秦三藏法师释圣坚
尊胜菩萨所问一切诸法入无量法门陀罗尼经,高齐河南居士万天懿
十住断结经,姚秦沙门竺佛念
菩萨道树经,吴月支优婆塞支谦
菩萨生地经,吴月支优婆塞支谦
佛说孛经,吴月支优婆塞支谦
无垢净光大陀罗尼经,唐天竺沙门弥陀山等
成具光明定意经,后汉西域三藏沙门支曜
摩诃摩耶经,萧齐三藏沙门释昙景
诸德福田经,西晋沙门释法立法炬
大方等如来藏经,东晋天竺三藏佛陀跋陀罗
佛说宝网经,西晋三藏法师竺法护
佛说内藏百宝经,后汉月支三藏支娄迦识
佛说温室洗浴众僧经,后汉安息三藏安世高
佛说菩萨行五十缘身经,西晋三藏法师竺法护
佛说菩萨修行经,西晋沙门白法祖
佛说金色王经,元魏三藏瞿昙般若流支
佛语法门经,元魏天竺三藏菩提留支
佛说四不可得经,西晋三藏法师竺法护
须真天子经,西晋三藏法师竺法护
佛说观普贤菩萨行法经,刘宋罽宾国三藏昙摩蜜多
观世音菩萨得大势至菩萨受记经,刘宋黄龙沙门释昙无竭
不思议光菩萨所说经,姚秦三藏法师鸠摩罗什
超日明三昧经,西晋清信士聂承远
除恐灾患经,姚秦三藏法师释圣坚
佛说首楞严三昧经,姚秦三藏法师鸠摩罗什
未曾有因缘经,萧齐三藏沙门释昙景
诸佛要集经,西晋三藏法师竺法护
称扬诸佛功德经,元魏三藏吉迦夜共昙曜
贤劫经,西晋三藏法师竺法护
佛说佛名经,元魏天竺三藏菩提留支
过去庄严劫千佛名经,开元拾遗附梁录
现在贤劫千佛名经,开元拾遗附梁录
未来星宿劫千佛名经,开元拾遗附梁录
五千五百佛名神咒除障灭罪经,隋三藏崛多共笈多等
力庄严三昧经,隋天竺三藏那连提耶舍
佛说八部佛名经,元魏三藏瞿昙般若流支
百佛名经,隋天竺三藏那连提耶舍
佛说不思议功德诸佛所护念经,隋天竺沙门阇那崛多
金刚三昧本性清净不坏不灭经,新附三秦录失译师名
佛说师子月佛本生经,新附三秦录失译师名
演道俗业经,姚秦三藏法师释圣坚
佛说长者法志妻经,出安公凉土录失译师名
佛说萨罗国经,开元附东晋录失译师名
佛说十吉祥经,开元附秦录失译师名
佛说长者女庵提遮师子吼了义经,开元拾遗附梁录
佛说一切智光明仙人慈心因缘不食肉经,大乘单本失译人名
大方等陀罗尼经,北凉沙门释法众
大法炬陀罗尼经,隋天竺沙门阇那崛多
大威德陀罗尼经,隋天竺沙门阇那崛多
观察诸法行经,隋天竺沙门阇那崛多
佛说华手经,姚秦三藏法师鸠摩罗什
法集经,元魏天竺三藏菩提留支
大方广圆觉修多罗了义经,唐罽宾沙门佛陀多罗
佛说施灯功德经,高齐天竺三藏那连提黎耶舍
金刚三昧经,出北凉录失译师名
观佛三昧海经,东晋天竺三藏佛陀跋陀罗
大方便佛报恩经,失译人名出后汉录
菩萨本行经,失译人名附东晋录
菩萨处胎经,姚秦三藏法师竺佛念
央掘魔罗经,刘宋天竺三藏求那跋陀罗
菩萨内习六波罗蜜经,后汉沙门严佛调
菩萨投身饲饿虎起塔因缘经,北凉高昌沙门法盛
三昧弘道广显定义经,西晋三藏法师竺法护
佛说明度五十校计经,后汉安息三藏安世高
无所有菩萨经,隋天竺沙门阇那崛多
大法鼓经,刘宋天竺三藏求那跋陀罗
月上女经,隋天竺沙门阇那崛多
文殊师利问经,梁扶南三藏僧伽婆罗
大方广如来秘密藏经,失译师名附二秦录
大乘密严经,唐中天竺沙门地婆诃罗
菩萨璎珞经,姚秦三藏法师竺佛念
大佛顶如来密因修证了义诸菩萨万行首楞严经,唐中天竺沙门般刺蜜帝
七佛所说神咒经,失译人名开元附东晋录
文殊师利宝藏陀罗尼经,唐天竺三藏菩提流志
僧伽吒经,陈优禅尼国王子月婆首那
出生菩提心经,隋天竺三藏阇那崛多等译
佛说佛印三昧经,后汉安息三藏安世高
佛说十二头陀经,刘宋天竺三藏求那跋陀罗
佛说树提伽经,刘宋天竺三藏求那跋陀罗
佛说法常住经,失译师名今附西晋录
佛说长寿王经,失译师名今附西晋录
佛说海龙王经,西晋三藏法师竺法护
佛为海龙王说法印经,唐三藏法师义净
佛说右绕佛塔功德经,唐于阗国三藏实叉难陀
佛说妙色王因,唐三藏法师义净
师子素驮娑王断肉经,唐沙门智严
佛说差摩婆帝受记经,元魏天竺三藏菩提留支
佛说师子庄严王菩萨请问经,唐中天竺三藏法师那提
中阴经,姚秦三藏法师竺佛念
占察善恶业报经,隋外国沙门菩提登
佛说莲华面经,隋天竺三藏那连提耶舍
佛说三品弟子经,吴月支优婆塞支谦
佛说四辈经,西晋三藏法师竺法护
佛说当来变经,西晋三藏法师竺法护
过去佛分卫经,西晋三藏法师竺法护
佛说法灭尽经,僧佑录失译师名附刘宋录
佛说甚深大回向经,刘宋失译师名出祐公录
天王太子辟罗经,安公关中异经今附秦录
大吉义神咒经,元魏沙门释昙曜
阿吒婆拘鬼神大将上佛陀罗尼经,失译师名开元拾遗附梁录
佛说大普贤陀罗尼经,旧失译师名开元附梁录
佛说大七宝陀罗尼经,旧失译师名开元附梁录
六字大陀罗尼咒经,旧失译师名开元附梁录
佛说安宅神咒经,失译师名出后汉录
幻师颰陀神咒经,东晋西域沙门竺昙无兰
佛说辟除贼害咒经,失译人名今附东晋录
佛说咒时气病经,东晋西域沙门竺昙无兰
佛说咒齿经,东晋西域沙门竺昙无兰
佛说咒目经,东晋西域沙门竺昙无兰
佛说咒小儿经,东晋西域沙门竺昙无兰
阿弥陀鼓音声王陀罗尼经,失译师名开元附梁录
佛说摩尼罗亶经,东晋西域沙门竺昙无兰
佛说擅持罗麻油述经,东晋西域沙门竺昙无兰
佛说护诸童子陀罗尼咒经,元魏天竺三藏菩提留支
诸佛心陀罗尼经,唐三藏法师玄奘
拔济苦难陀罗尼经,唐三藏法师玄奘
八名普密陀罗尼经,唐三藏法师玄奘
佛说持世陀罗尼经,唐三藏法师玄奘
佛说六门陀罗尼经,唐三藏法师玄奘
清净观世音菩萨普贤陀罗尼经,唐三藏沙门智通
诸佛集会陀罗尼经,唐三藏法师提昙般若
佛说智炬陀罗尼经,唐三藏法师提昙般若
佛说随求即得大自在陀罗尼神咒经,唐天竺三藏法师宝思惟
佛说一切法功德庄严王经,唐三藏法师义净
佛说拔除罪障咒王经,唐三藏法师义净
